record_id,area,disease,date,cases
REC_00000,Kalyani Nagar,Diarrhea,2025-12-17,2
REC_00001,Wakad,Typhoid,2025-12-06,0
REC_00002,Baner,Dengue,2026-02-24,4
REC_00003,Kalyani Nagar,Dengue,2026-01-30,1
REC_00004,Hingne Khurd,Diarrhea,2026-01-13,4
REC_00005,Koregaon Park,Cholera,2025-12-15,1
REC_00006,Baner,Diarrhea,2026-02-01,4
REC_00007,Baner,Malaria,2026-01-05,1
REC_00008,Kalyani Nagar,Diarrhea,2025-12-24,5
REC_00009,Kothrud,Cholera,2025-12-08,2
REC_00010,Hingne Khurd,Typhoid,2026-01-23,5
REC_00011,Kalyani Nagar,Cholera,2025-12-27,2
REC_00012,Hingne Khurd,Dengue,2025-12-08,3
REC_00013,Hingne Khurd,Dengue,2025-12-11,2
REC_00014,Koregaon Park,Diarrhea,2025-12-17,1
REC_00015,Baner,Typhoid,2026-02-27,7
REC_00016,Wakad,Dengue,2026-01-24,4
REC_00017,Koregaon Park,Dengue,2026-02-27,3
REC_00018,Koregaon Park,Diarrhea,2026-02-11,6
REC_00019,Hingne Khurd,Dengue,2026-01-26,1
REC_00020,Viman Nagar,Malaria,2026-02-18,3
REC_00021,Baner,Diarrhea,2026-01-19,5
REC_00022,Kothrud,Diarrhea,2025-12-31,3
REC_00023,Koregaon Park,Diarrhea,2026-02-25,3
REC_00024,Wakad,Malaria,2026-01-16,1
REC_00025,Viman Nagar,Diarrhea,2025-12-07,4
REC_00026,Viman Nagar,Diarrhea,2025-12-29,4
REC_00027,Kothrud,Diarrhea,2025-12-25,5
REC_00028,Koregaon Park,Diarrhea,2025-12-23,2
REC_00029,Wakad,Dengue,2025-12-26,2
REC_00030,Baner,Dengue,2026-02-16,2
REC_00031,Shivajinagar,Dengue,2026-02-12,3
REC_00032,Wakad,Dengue,2026-01-07,3
REC_00033,Kothrud,Diarrhea,2026-02-03,2
REC_00034,Viman Nagar,Typhoid,2026-01-19,2
REC_00035,Baner,Diarrhea,2026-02-10,2
REC_00036,Wakad,Diarrhea,2026-01-18,5
REC_00037,Shivajinagar,Malaria,2026-01-13,2
REC_00038,Shivajinagar,Diarrhea,2026-02-24,3
REC_00039,Hingne Khurd,Malaria,2026-01-01,4
REC_00040,Hingne Khurd,Dengue,2025-12-18,2
REC_00041,Kalyani Nagar,Dengue,2025-12-12,1
REC_00042,Kothrud,Diarrhea,2026-02-15,5
REC_00043,Koregaon Park,Cholera,2025-12-21,4
REC_00044,Wakad,Dengue,2025-12-19,4
REC_00045,Wakad,Dengue,2025-12-04,3
REC_00046,Koregaon Park,Diarrhea,2026-02-21,3
REC_00047,Kalyani Nagar,Dengue,2026-02-15,6
REC_00048,Viman Nagar,Typhoid,2026-02-27,1
REC_00049,Viman Nagar,Diarrhea,2025-12-31,5
REC_00050,Kalyani Nagar,Cholera,2025-12-29,5
REC_00051,Viman Nagar,Diarrhea,2025-12-25,5
REC_00052,Hingne Khurd,Diarrhea,2026-02-19,6
REC_00053,Wakad,Diarrhea,2026-02-24,2
REC_00054,Kalyani Nagar,Diarrhea,2026-02-25,3
REC_00055,Wakad,Diarrhea,2025-12-03,6
REC_00056,Koregaon Park,Dengue,2026-02-04,1
REC_00057,Shivajinagar,Diarrhea,2026-01-11,2
REC_00058,Hingne Khurd,Diarrhea,2025-12-29,4
REC_00059,Baner,Typhoid,2025-12-15,1
REC_00060,Hingne Khurd,Diarrhea,2026-02-08,2
REC_00061,Kalyani Nagar,Diarrhea,2026-01-07,3
REC_00062,Baner,Dengue,2026-02-23,0
REC_00063,Shivajinagar,Diarrhea,2026-01-09,3
REC_00064,Kalyani Nagar,Diarrhea,2025-12-30,2
REC_00065,Kothrud,Typhoid,2026-01-17,0
REC_00066,Wakad,Cholera,2025-12-12,2
REC_00067,Shivajinagar,Dengue,2026-01-09,3
REC_00068,Wakad,Typhoid,2025-12-27,0
REC_00069,Viman Nagar,Dengue,2026-02-01,2
REC_00070,Kothrud,Malaria,2025-12-18,3
REC_00071,Kothrud,Diarrhea,2026-02-24,1
REC_00072,Shivajinagar,Dengue,2026-02-09,6
REC_00073,Kothrud,Diarrhea,2025-12-24,3
REC_00074,Baner,Dengue,2026-01-06,1
REC_00075,Kothrud,Dengue,2026-02-27,2
REC_00076,Wakad,Diarrhea,2025-12-02,4
REC_00077,Wakad,Diarrhea,2025-12-01,1
REC_00078,Kalyani Nagar,Cholera,2025-12-04,5
REC_00079,Wakad,Diarrhea,2026-01-29,5
REC_00080,Kalyani Nagar,Diarrhea,2025-12-19,1
REC_00081,Wakad,Malaria,2026-02-13,2
REC_00082,Baner,Dengue,2026-01-06,2
REC_00083,Koregaon Park,Dengue,2026-02-17,4
REC_00084,Kalyani Nagar,Diarrhea,2026-01-04,2
REC_00085,Hingne Khurd,Diarrhea,2026-01-14,2
REC_00086,Viman Nagar,Diarrhea,2026-01-05,3
REC_00087,Shivajinagar,Diarrhea,2026-01-22,6
REC_00088,Wakad,Diarrhea,2025-12-20,2
REC_00089,Kothrud,Dengue,2025-12-20,3
REC_00090,Koregaon Park,Dengue,2026-02-07,3
REC_00091,Wakad,Typhoid,2026-02-21,3
REC_00092,Kothrud,Diarrhea,2026-01-28,3
REC_00093,Viman Nagar,Typhoid,2026-01-04,4
REC_00094,Viman Nagar,Dengue,2026-02-14,1
REC_00095,Viman Nagar,Cholera,2025-12-10,2
REC_00096,Kothrud,Dengue,2026-02-25,0
REC_00097,Wakad,Dengue,2026-02-20,2
REC_00098,Viman Nagar,Cholera,2026-02-24,6
REC_00099,Baner,Dengue,2025-12-30,4
REC_00100,Kalyani Nagar,Diarrhea,2026-01-05,3
REC_00101,Kothrud,Dengue,2026-01-28,4
REC_00102,Kothrud,Diarrhea,2026-01-29,2
REC_00103,Wakad,Cholera,2026-02-04,0
REC_00104,Kothrud,Malaria,2025-12-28,3
REC_00105,Kothrud,Diarrhea,2026-02-04,0
REC_00106,Viman Nagar,Dengue,2026-02-16,2
REC_00107,Wakad,Diarrhea,2026-02-08,3
REC_00108,Viman Nagar,Malaria,2026-02-04,3
REC_00109,Kalyani Nagar,Dengue,2025-12-15,3
REC_00110,Koregaon Park,Malaria,2026-01-13,6
REC_00111,Kalyani Nagar,Dengue,2026-01-02,2
REC_00112,Koregaon Park,Cholera,2026-02-21,5
REC_00113,Viman Nagar,Malaria,2026-01-12,6
REC_00114,Kalyani Nagar,Dengue,2026-02-15,4
REC_00115,Wakad,Diarrhea,2026-01-10,3
REC_00116,Shivajinagar,Malaria,2026-01-03,3
REC_00117,Viman Nagar,Diarrhea,2026-02-12,2
REC_00118,Koregaon Park,Cholera,2026-02-21,4
REC_00119,Baner,Diarrhea,2025-12-29,6
REC_00120,Koregaon Park,Typhoid,2026-01-21,3
REC_00121,Baner,Diarrhea,2026-01-26,3
REC_00122,Kothrud,Dengue,2025-12-27,2
REC_00123,Kalyani Nagar,Diarrhea,2025-12-14,6
REC_00124,Baner,Diarrhea,2026-01-06,2
REC_00125,Koregaon Park,Diarrhea,2026-01-18,3
REC_00126,Kothrud,Typhoid,2025-12-12,3
REC_00127,Shivajinagar,Diarrhea,2026-01-03,1
REC_00128,Wakad,Cholera,2025-12-23,1
REC_00129,Wakad,Diarrhea,2026-02-02,2
REC_00130,Wakad,Diarrhea,2026-02-25,1
REC_00131,Baner,Diarrhea,2025-12-17,5
REC_00132,Shivajinagar,Malaria,2026-01-26,0
REC_00133,Baner,Cholera,2025-12-25,3
REC_00134,Kalyani Nagar,Diarrhea,2025-12-28,5
REC_00135,Baner,Dengue,2026-02-09,2
